Retire Before 65 Years Old,Gender,Desease,Education Level,Marital Status,Monthly Income,Employee/Employer,Dependants,Unemployment Rate,Stock Market,Credit Score,Government Bonds Return,Probabilidades de Retiro Temprano,Predicción Modelo,Probabilidad Modelo,ID_Cliente
0,0,0,3,1,40000,1,1,5.39200968,40243.16667,697,6.096666667,,0,0.09288000155324021,50
0,1,0,5,0,22000,0,1,3.76339417,29309.33333,784,7.521666667,,0,0.11714729031574532,51
0,1,1,5,0,24000,0,2,4.78107286,39064.0,618,5.945,,0,0.20385902745201875,52
0,0,0,4,1,16000,1,1,4.83260494,41912.16667,601,5.567416667,,0,0.14022146794102,53
0,1,0,4,1,18000,0,1,4.26439053,21536.0,737,8.66,,0,0.15587359614774926,54
0,0,0,4,0,16000,1,1,4.54175572,20563.0,726,8.315833333,,0,0.12710760270018806,55
0,0,0,4,0,24000,0,1,4.54175572,20563.0,634,8.315833333,,0,0.09445896989533413,56
0,1,1,4,1,20000,0,2,4.98532915,40216.83333,780,5.3995,,0,0.2673556914697987,57
0,1,0,4,1,20000,0,2,4.2,43587.5,739,6.165,,0,0.40935142938783997,58
0,0,1,4,0,16000,1,2,5.30387327,40216.83333,658,5.3995,,0,0.23184832829496163,59
0,1,1,4,0,18000,0,1,3.76339417,29309.33333,632,7.521666667,,0,0.12125062327871163,60
0,0,0,4,0,31000,0,3,5.74138196,32076.33333,710,6.318333333,,0,0.35462424454483304,61
0,1,1,5,0,20000,0,1,5.4584248,32076.33333,622,6.318333333,,0,0.10195034400338164,62
0,0,0,5,0,20000,0,2,5.25041296,44437.16667,644,5.881666667,,0,0.1641176698517696,63
0,1,1,4,0,28000,1,2,4.94709939,36093.16667,693,6.358333333,,0,0.2896994393458692,64
0,0,1,4,1,36000,1,1,5.83158683,35583.16667,752,6.431666667,,0,0.08548029617135022,65
0,0,0,5,1,20000,0,2,4.32400469,14487.16667,697,8.983333333,,0,0.21523872944432257,66
0,1,0,3,0,20000,0,1,3.22742853,30804.0,734,8.431666667,,0,0.15188442158677135,67
0,0,1,3,0,24000,0,3,4.69723033,41661.66667,772,6.199,,0,0.3894006616980364,68
0,0,1,3,0,18000,0,1,3.84357001,24066.16667,695,7.715833333,,0,0.09539490893736315,69
0,1,0,4,1,18000,0,1,3.66114181,20563.0,684,8.315833333,,0,0.16832744210271774,70
0,1,1,3,0,30000,1,1,5.36220735,35583.16667,793,6.431666667,,0,0.110646108858495,71
0,0,0,5,1,17000,0,2,5.83158683,35583.16667,719,6.431666667,,0,0.19184236335097588,72
0,0,0,5,0,22000,0,1,3.84357001,24066.16667,690,7.715833333,,0,0.0935518909595255,73
0,1,0,4,0,28000,1,1,4.28381716,42857.16667,676,5.604166667,,0,0.1430846793799716,74
0,0,0,3,1,36000,1,2,5.74138196,32076.33333,749,6.318333333,,0,0.18783631263564085,75
0,0,1,5,1,32000,0,1,4.32400469,14487.16667,688,8.983333333,,0,0.08329738081234613,76
0,1,1,5,0,38000,1,3,5.14091293,40243.16667,637,6.096666667,,1,0.5458671951607276,77
0,1,0,5,1,39000,1,1,4.58965589,41661.66667,724,6.199,,0,0.11173181342753387,78
0,1,0,4,0,39000,1,2,5.59830462,36109.5,761,6.61,,0,0.23675281431389267,79
0,1,0,4,0,15000,0,2,3.22742853,30804.0,654,8.431666667,,1,0.5031463681622468,80
0,0,0,3,1,31000,0,2,3.46916133,19520.66667,768,8.896666667,,0,0.18765181389723268,81
0,1,0,5,1,20000,0,1,3.66114181,20563.0,744,8.315833333,,0,0.14067441602746114,82
0,0,1,3,0,19000,0,2,4.84510369,39064.0,767,5.945,,0,0.1537931931342806,83
0,0,1,5,0,25000,0,4,6.74115103,27335.5,710,8.079916667,,1,0.6898654702937588,84
0,0,1,4,0,34000,1,3,4.6,44100.16667,655,6.0575,,0,0.4086666237904893,85
0,0,0,3,1,18000,0,3,5.30387327,40216.83333,743,5.3995,,1,0.647316914085682,86
0,0,0,5,1,18000,0,2,4.53300508,44425.83333,649,5.8425,,0,0.21388679419715176,87
0,0,1,3,1,18000,0,3,4.98618179,42063.16667,644,5.414833333,,1,0.5661421122336436,88
0,1,0,5,0,31000,0,2,5.23935845,44437.16667,722,5.881666667,,0,0.19026936110804282,89
0,1,0,5,1,35000,1,2,2.93965649,19520.66667,699,8.896666667,,0,0.4123841888964342,90
0,1,0,4,0,20000,0,1,5.19011599,32304.66667,756,7.193916667,,0,0.12132287265791751,91
0,0,0,3,0,21000,0,1,3.63669268,30115.33333,770,7.608333333,,0,0.10063679106494129,92
0,0,1,3,0,28000,1,2,4.15050313,42857.16667,796,5.604166667,,0,0.1734017868906028,93
0,0,1,4,0,19000,0,1,4.82778981,41229.83333,740,5.91,,0,0.08733323549095716,94
0,0,0,5,1,37000,1,1,4.8864339,40418.0,624,6.365083333,,0,0.09235639856526151,95
0,1,1,5,0,20000,0,1,4.26439053,21536.0,706,8.66,,0,0.10624009487895292,96
0,0,0,5,1,27000,0,3,4.3,44555.83333,686,5.981666667,,0,0.4783547909296108,97
0,1,1,3,0,17000,0,1,3.52061247,30573.16667,640,7.733416667,,0,0.1346637636955506,98
0,0,0,5,1,19000,0,2,5.39200968,40243.16667,689,6.096666667,,0,0.1881754454584548,99
0,0,0,3,1,15000,0,1,3.78502178,30804.0,707,8.431666667,,0,0.12257062024093726,100
0,0,1,3,1,23000,0,2,4.04175506,21536.0,789,8.66,,0,0.17217528210084232,101
0,1,1,4,1,24000,0,2,3.66114181,20563.0,784,8.315833333,,0,0.2816154816288408,102
0,1,1,4,1,16000,0,2,4.88226702,41912.16667,777,5.567416667,,0,0.3140458318637158,103
0,1,1,5,1,29000,0,2,4.29406689,44425.83333,763,5.8425,,0,0.18683619301447948,104
0,0,0,5,1,26000,0,1,4.69723033,41661.66667,796,6.199,,0,0.08877546357963038,105
0,0,1,5,0,19000,0,1,4.94922646,19439.0,722,8.024166667,,0,0.08645445609785392,106
0,0,1,5,1,39000,1,3,4.72142055,22755.0,755,7.940833333,,0,0.34798120980350106,107
0,0,1,3,1,28000,0,1,5.1950095,31577.33333,651,7.701083333,,0,0.08767727092505902,108
0,1,1,4,1,39000,1,2,4.2,43587.5,718,6.165,,0,0.23514670687190445,109
0,0,1,3,0,15000,0,1,4.86656602,37332.5,608,7.508333333,,0,0.0968335954484112,110
0,0,1,5,1,18000,0,2,4.70796553,36093.16667,726,6.358333333,,0,0.1556026993046907,111
0,0,1,3,1,20000,0,1,4.94922646,19439.0,746,8.024166667,,0,0.09407148664740621,112
0,0,0,5,1,31000,0,1,4.3,44555.83333,793,5.981666667,,0,0.08597511237558195,113
0,0,0,5,1,21000,0,1,4.8864339,40418.0,783,6.365083333,,0,0.09297216689442038,114
0,1,0,3,0,19000,0,1,5.34449117,22755.0,650,7.940833333,,0,0.14170506388194548,115
0,0,0,4,1,38000,1,3,5.22030741,36600.0,658,7.11,,1,0.527566558035181,116
0,0,0,4,1,32000,0,1,4.69723033,41661.66667,642,6.199,,0,0.08903800815881655,117
0,0,0,4,1,16000,1,1,4.83260494,41912.16667,734,5.567416667,,0,0.13131545655276397,118
0,1,0,3,1,19000,0,1,4.90678778,44426.0,688,5.095083333,,0,0.1523036762134606,119
0,1,1,4,1,16000,0,2,3.71008358,27256.0,702,7.8225,,0,0.39326561060654297,120
0,1,0,3,1,20000,0,2,3.14890585,30115.33333,623,7.608333333,,1,0.5514306869404056,121
0,1,1,5,0,22000,0,2,4.90678778,44426.0,645,5.095083333,,0,0.2078696794479868,122
0,1,1,5,1,33000,1,2,5.59830462,36109.5,772,6.61,,0,0.22306137129665352,123
0,1,0,4,0,39000,1,1,5.35396094,31577.33333,708,7.701083333,,0,0.10826638455633983,124
0,0,1,5,0,16000,1,2,5.25041296,44437.16667,699,5.881666667,,0,0.20150345578273254,125
0,0,0,5,0,22000,0,2,5.03775575,30100.5,782,7.96275,,0,0.1514054371491884,126
0,0,1,4,0,24000,0,1,4.8864339,40418.0,614,6.365083333,,0,0.08578530221665474,127
0,0,0,3,0,28000,0,1,4.53300508,44425.83333,783,5.8425,,0,0.0891629085287217,128
0,1,0,3,1,26000,1,2,5.05485168,37846.16667,605,6.19875,,1,0.5602881962970404,129
0,0,1,3,1,29000,0,1,3.84357001,24066.16667,738,7.715833333,,0,0.08856473471925216,130
0,1,0,3,1,29000,0,2,3.52061247,30573.16667,772,7.733416667,,0,0.36157293824100967,131
0,1,0,3,0,34000,1,1,4.94709939,36093.16667,679,6.358333333,,0,0.12978115590012507,132
0,0,0,3,1,17000,0,1,5.74138196,32076.33333,603,6.318333333,,0,0.1098243153268966,133
0,1,0,4,0,19000,0,1,3.66114181,20563.0,722,8.315833333,,0,0.14173805710653917,134
0,0,0,3,1,29000,0,2,4.70796553,36093.16667,682,6.358333333,,0,0.18043390088903577,135
0,1,0,4,0,17000,1,2,5.19011599,32304.66667,704,7.193916667,,1,0.5551009539571654,136
0,1,0,4,1,29000,0,1,4.3,44555.83333,754,5.981666667,,0,0.11381212039224982,137
0,0,1,4,0,33000,1,1,4.38253338,26982.33333,728,8.568333333,,0,0.08813440672285971,138
0,0,1,4,1,40000,1,1,4.82778981,41229.83333,721,5.91,,0,0.08480691521127932,139
0,1,0,4,0,19000,0,2,3.41905047,12789.0,662,9.910833333,,0,0.4545734201574495,140
0,1,1,5,1,16000,0,1,4.3,44555.83333,632,5.981666667,,0,0.1223265150403854,141
0,0,0,4,0,33000,0,2,5.39200968,40243.16667,693,6.096666667,,0,0.124345945941851,142
0,1,1,4,0,33000,1,1,4.78107286,39064.0,637,5.945,,0,0.1072569997069585,143
0,1,1,4,1,32000,0,2,5.77682986,27335.5,609,8.079916667,,0,0.1933400752673746,144
0,1,0,5,1,15000,0,2,3.41905047,12789.0,611,9.910833333,,1,0.5475821942328489,145
0,1,1,4,1,20000,0,2,2.96690257,16516.83333,609,8.589166667,,0,0.40282478632841195,146
0,1,0,5,1,32000,0,1,5.02379729,42063.16667,728,5.414833333,,0,0.10072066002463015,147
0,1,1,4,0,40000,1,1,4.90678778,44426.0,603,5.095083333,,0,0.09689833667426785,148
0,1,0,4,1,15000,1,1,4.58965589,41661.66667,611,6.199,,0,0.2565666026271825,149
0,1,1,4,0,32000,0,3,3.46001951,18716.66667,634,8.200833333,,1,0.5957832289203613,150
0,0,1,3,0,26000,0,1,5.30387327,40216.83333,746,5.3995,,0,0.0841912098828547,151
0,1,1,5,1,31000,0,2,4.94709939,36093.16667,678,6.358333333,,0,0.17868621770461077,152
0,1,0,5,1,39000,1,3,4.94709939,36093.16667,646,6.358333333,,1,0.7115946702092393,153
0,0,0,5,1,31000,0,2,4.84510369,39064.0,613,5.945,,0,0.1442800451256767,154
0,0,0,5,1,19000,0,3,4.15050313,42857.16667,651,5.604166667,,1,0.6123228480551108,155
0,0,1,4,1,28000,0,1,3.38752413,16516.83333,640,8.589166667,,0,0.08985227025913153,156
0,0,0,3,0,18000,1,2,4.94922646,19439.0,621,8.024166667,,0,0.3814788216534043,157
0,0,1,5,1,38000,1,2,3.63669268,30115.33333,611,7.608333333,,0,0.1472930836512842,158
0,1,0,4,1,27000,0,1,4.98532915,40216.83333,731,5.3995,,0,0.11534106837443203,159
0,1,0,3,0,37000,1,2,5.24425019,36600.0,699,7.11,,0,0.3134390178738535,160
0,1,1,3,0,16000,1,1,3.41905047,12789.0,711,9.910833333,,0,0.20022933921991726,161
0,0,1,4,0,16000,0,1,4.78069453,36109.5,642,6.61,,0,0.09176267562763472,162
0,1,1,3,0,24000,0,1,4.3,44555.83333,616,5.981666667,,0,0.1099644062493986,163
0,0,1,4,1,20000,0,1,5.03775575,30100.5,759,7.96275,,0,0.09008031225460368,164
0,0,1,4,1,34000,1,3,4.87568406,44426.0,737,5.095083333,,0,0.4328456027310405,165
0,0,1,3,0,25000,0,3,4.06666964,29309.33333,775,7.521666667,,0,0.4133119905093395,166
0,1,0,3,1,40000,1,1,2.93965649,19520.66667,688,8.896666667,,0,0.14763972839781425,167
0,1,0,5,1,17000,1,1,4.94709939,36093.16667,726,6.358333333,,0,0.19239020502592113,168
0,0,0,4,0,40000,1,2,3.65529884,18716.66667,623,8.200833333,,0,0.17504505487426728,169
0,1,0,3,1,31000,0,1,4.26439053,21536.0,625,8.66,,0,0.1287270383571573,170
0,0,0,4,1,36000,1,1,4.72142055,22755.0,735,7.940833333,,0,0.09637839327632476,171
0,1,1,3,1,39000,1,2,3.71008358,27256.0,728,7.8225,,0,0.29062215476676556,172
0,0,0,3,1,18000,0,2,5.74138196,32076.33333,651,6.318333333,,0,0.24715782526448118,173
0,1,0,4,1,19000,0,1,5.02379729,42063.16667,704,5.414833333,,0,0.13843081904787224,174
0,0,0,3,0,35000,1,2,4.32400469,14487.16667,751,8.983333333,,0,0.20157789277449628,175
0,1,1,4,0,16000,1,1,2.93965649,19520.66667,787,8.896666667,,0,0.17479311673145428,176
0,0,0,4,0,21000,0,2,3.63669268,30115.33333,633,7.608333333,,0,0.21290608796546923,177
0,0,1,5,1,29000,1,2,4.06666964,29309.33333,704,7.521666667,,0,0.175287019327611,178
0,1,0,4,0,34000,1,1,4.26439053,21536.0,628,8.66,,0,0.13322106354175495,179
0,1,0,3,0,39000,1,1,3.41905047,12789.0,771,9.910833333,,0,0.128421135435724,180
0,0,0,4,1,29000,0,1,5.11135844,32304.66667,694,7.193916667,,0,0.0903755988370963,181
0,0,1,5,1,30000,0,1,5.39200968,40243.16667,741,6.096666667,,0,0.08149821183332957,182
0,0,0,5,1,15000,0,1,4.98618179,42063.16667,626,5.414833333,,0,0.10348828630098224,183
0,1,0,5,1,19000,0,2,2.96690257,16516.83333,716,8.589166667,,0,0.4642479012111634,184
0,0,0,5,1,18000,0,1,4.86656602,37332.5,731,7.508333333,,0,0.0980693071219375,185
0,0,0,3,0,27000,1,1,4.15050313,42857.16667,796,5.604166667,,0,0.10502147314550275,186
0,1,0,5,0,17000,0,1,2.96690257,16516.83333,782,8.589166667,,0,0.14067801375703398,187
0,0,0,4,0,22000,0,2,4.38253338,26982.33333,763,8.568333333,,0,0.179276909451824,188
0,1,1,3,0,35000,1,1,2.93965649,19520.66667,664,8.896666667,,0,0.12339330794785777,189
0,1,0,4,1,37000,1,2,4.6,44100.16667,687,6.0575,,0,0.34243572507922276,190
0,1,1,3,1,20000,0,1,3.41905047,12789.0,684,9.910833333,,0,0.14294245575522987,191
0,0,1,3,0,23000,0,3,4.15050313,42857.16667,649,5.604166667,,0,0.4574788036348818,192
0,1,0,3,1,16000,1,1,5.19011599,32304.66667,694,7.193916667,,0,0.25432678296916056,193
0,1,1,4,1,26000,0,3,5.0356035,19439.0,656,8.024166667,,1,0.6710621020098927,194
0,0,0,4,1,33000,1,3,4.38253338,26982.33333,770,8.568333333,,1,0.6136118563507752,195
0,1,0,4,0,40000,1,1,5.77682986,27335.5,636,8.079916667,,0,0.10771618502051686,196
0,0,0,5,1,15000,0,2,4.15050313,42857.16667,601,5.604166667,,0,0.2562104406466732,197
0,1,0,3,0,19000,0,2,4.2,43587.5,603,6.165,,0,0.4474158927904968,198
0,1,1,5,1,33000,1,2,3.41905047,12789.0,791,9.910833333,,0,0.2959344220159904,199
0,1,1,3,1,20000,0,2,4.78107286,39064.0,612,5.945,,0,0.3525933276544186,200
0,1,1,3,1,34000,1,1,3.44487597,24066.16667,739,7.715833333,,0,0.12865668104163258,201
0,1,0,5,1,25000,0,2,5.32080167,37332.5,687,7.508333333,,0,0.28990150469663906,202
0,1,0,5,0,26000,0,2,5.23935845,44437.16667,742,5.881666667,,0,0.22276854868562523,203
0,0,1,5,1,36000,1,1,4.69723033,41661.66667,733,6.199,,0,0.08534201706387437,204
0,1,1,4,0,30000,1,2,4.3,44555.83333,601,5.981666667,,0,0.3007822536729147,205
0,0,1,4,1,36000,1,1,4.53300508,44425.83333,607,5.8425,,0,0.08937215053566533,206
0,0,0,4,1,25000,0,1,4.69723033,41661.66667,673,6.199,,0,0.09484626020998983,207
0,1,0,4,1,19000,0,1,5.24425019,36600.0,675,7.11,,0,0.14132411559003774,208
0,1,1,4,1,29000,0,2,4.3,44555.83333,711,5.981666667,,0,0.21613023645148002,209
0,0,1,4,1,27000,0,2,4.68199486,37846.16667,735,6.19875,,0,0.1329942424822437,210
0,0,0,4,1,39000,1,1,4.54175572,20563.0,677,8.315833333,,0,0.0951317540876266,211
0,1,1,3,0,36000,1,1,3.96172167,26982.33333,733,8.568333333,,0,0.11073189908058671,212
0,0,1,3,1,29000,1,2,3.59050539,12789.0,754,9.910833333,,0,0.23230255144064701,213
0,0,1,3,0,17000,0,1,4.86656602,37332.5,688,7.508333333,,0,0.09295146925993525,214
0,0,1,4,0,15000,1,2,6.74115103,27335.5,705,8.079916667,,0,0.21412526661433975,215
0,1,1,5,0,34000,1,2,3.41905047,12789.0,718,9.910833333,,0,0.2558891230776923,216
0,0,0,5,0,32000,0,3,4.34354688,27256.0,731,7.8225,,0,0.3516899825648003,217
0,1,1,3,1,40000,1,2,4.78107286,39064.0,747,5.945,,0,0.23751370166173236,218
0,0,1,4,1,17000,1,2,4.83260494,41912.16667,754,5.567416667,,0,0.2552239153072383,219
0,0,0,3,0,20000,0,1,3.38752413,16516.83333,736,8.589166667,,0,0.10577637930206543,220
0,0,0,5,1,25000,0,1,5.22030741,36600.0,751,7.11,,0,0.08961710471435547,221
0,0,0,4,1,29000,1,2,3.84357001,24066.16667,766,7.715833333,,0,0.2608994041185979,222
0,1,0,5,1,32000,0,2,5.4584248,32076.33333,707,6.318333333,,0,0.21743390366018372,223
0,0,1,4,1,35000,1,3,3.38752413,16516.83333,603,8.589166667,,1,0.5564593369331526,224
0,0,0,3,0,19000,0,1,5.39200968,40243.16667,673,6.096666667,,0,0.09840324922587323,225
0,1,1,3,1,25000,0,2,5.35522049,30100.5,725,7.96275,,0,0.2642820127471086,226
0,1,0,5,1,16000,1,1,5.35396094,31577.33333,636,7.701083333,,0,0.2087317147385011,227
0,1,0,5,1,38000,1,2,4.94709939,36093.16667,674,6.358333333,,0,0.291036128655287,228
0,0,0,5,1,35000,1,2,4.06666964,29309.33333,632,7.521666667,,0,0.19999912672143041,229
0,0,0,3,0,33000,1,1,4.94922646,19439.0,719,8.024166667,,0,0.09852852120498723,230
0,1,0,3,1,20000,0,2,5.32080167,37332.5,753,7.508333333,,0,0.41971907216836213,231
0,0,1,5,1,33000,1,1,4.84510369,39064.0,704,5.945,,0,0.08739932175801916,232
0,1,1,5,0,20000,0,2,5.35396094,31577.33333,667,7.701083333,,0,0.2219187074707605,233
0,1,0,5,1,32000,0,2,4.78107286,39064.0,768,5.945,,0,0.21786932633899878,234
0,1,0,4,1,15000,1,1,5.77682986,27335.5,701,8.079916667,,0,0.22496499547644322,235
0,0,0,5,1,20000,0,3,4.8864339,40418.0,661,6.365083333,,1,0.5726283547403117,236
0,1,1,5,0,28000,1,1,5.36220735,35583.16667,791,6.431666667,,0,0.10313086159380397,237
0,1,0,3,0,15000,0,2,3.46001951,18716.66667,732,8.200833333,,1,0.5275392512963982,238
0,1,0,5,0,21000,0,1,3.46001951,18716.66667,670,8.200833333,,0,0.12997243902793826,239
0,0,0,3,1,25000,0,2,4.86656602,37332.5,756,7.508333333,,0,0.19487621183757825,240
0,1,0,4,1,38000,1,2,3.66114181,20563.0,636,8.315833333,,0,0.403177437482837,241
0,0,0,4,1,19000,0,2,4.38253338,26982.33333,628,8.568333333,,0,0.25459820826659413,242
0,0,0,5,1,19000,0,2,4.34354688,27256.0,782,7.8225,,0,0.20202827536188203,243
0,0,1,5,1,22000,0,2,3.78502178,30804.0,686,8.431666667,,0,0.15636839227014415,244
0,1,0,5,0,18000,0,2,4.58965589,41661.66667,751,6.199,,0,0.3200085503686361,245
0,0,0,5,1,30000,0,2,5.74138196,32076.33333,634,6.318333333,,0,0.13954112886436568,246
0,1,1,5,1,32000,0,1,2.93965649,19520.66667,745,8.896666667,,0,0.09921815975169346,247
0,0,1,4,0,19000,0,3,4.54175572,20563.0,792,8.315833333,,0,0.4410287916407813,248
0,0,1,4,0,23000,0,2,4.84510369,39064.0,690,5.945,,0,0.1328883342100021,249
0,1,1,3,1,19000,0,2,4.88226702,41912.16667,627,5.567416667,,0,0.3546339568360177,250
0,1,1,3,0,38000,1,2,4.6,44100.16667,704,6.0575,,0,0.22693492963449377,251
0,0,1,3,1,25000,0,2,5.03775575,30100.5,623,7.96275,,0,0.16235208139427668,252
0,0,1,5,1,20000,0,2,4.70796553,36093.16667,755,6.358333333,,0,0.14498234991536602,253
0,1,0,4,1,17000,1,1,5.34449117,22755.0,782,7.940833333,,0,0.20758828489948097,254
0,1,0,4,0,22000,0,2,3.4686843,14487.16667,751,8.983333333,,0,0.3782386590817843,255
0,1,0,4,1,24000,0,1,2.96690257,16516.83333,603,8.589166667,,0,0.15769860832397053,256
0,0,0,3,1,28000,1,2,4.2,43587.5,646,6.165,,0,0.30495574342783816,257
0,1,1,4,0,19000,0,1,5.32080167,37332.5,683,7.508333333,,0,0.10738886827249387,258
0,1,1,4,1,33000,1,2,3.52061247,30573.16667,722,7.733416667,,0,0.32763401428905364,259
0,1,1,3,1,18000,0,1,5.35396094,31577.33333,680,7.701083333,,0,0.12749099923783458,260
0,1,1,4,1,28000,1,1,5.0356035,19439.0,600,8.024166667,,0,0.13397305060567902,261
0,1,1,4,1,16000,1,1,5.19011599,32304.66667,789,7.193916667,,0,0.1604268831635929,262
0,1,0,4,0,26000,0,2,5.34449117,22755.0,635,7.940833333,,0,0.28746756295750325,263
0,0,0,3,0,29000,1,1,5.22030741,36600.0,669,7.11,,0,0.10276231542985281,264
0,0,0,5,1,18000,0,2,4.53300508,44425.83333,728,5.8425,,0,0.20236417618229285,265
0,1,1,3,1,33000,1,1,4.58965589,41661.66667,781,6.199,,0,0.11748624691848199,266
0,0,0,3,1,29000,0,2,4.06666964,29309.33333,662,7.521666667,,0,0.19798086600002202,267
0,1,0,5,1,37000,1,1,4.75727494,40418.0,675,6.365083333,,0,0.11742278617776458,268
0,0,0,4,0,20000,0,2,4.54175572,20563.0,716,8.315833333,,0,0.19651159433484097,269
0,1,0,5,0,36000,1,2,4.92918489,41229.83333,625,5.91,,0,0.2725715001058918,270
0,0,0,3,0,15000,0,1,3.38752413,16516.83333,639,8.589166667,,0,0.11981265653091755,271
0,1,1,3,0,15000,0,1,4.29406689,44425.83333,629,5.8425,,0,0.131019297119729,272
0,0,0,5,1,39000,1,1,4.06666964,29309.33333,677,7.521666667,,0,0.09240972436172952,273
0,0,0,3,1,25000,0,1,5.30387327,40216.83333,749,5.3995,,0,0.0947496757636849,274
