,SegmentR,PEPR,AgeR,TimeRelationR,IncomeSourceR,ActivityR,NationalityR,CommonAddR,ProductTR,SubproductR,OperationTR,MonetaryInstR,DivisaR,ChannelR,OperabilitySR,OGoverR,SARR,VMR,VOR,SumSeR,SumReR,RSR,AAR,SendingNumR,ReceivingNumR,StateOpeR,StateResR,MunOpeR,MunResR,CountryR
43,100,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,75,80,80,65,85,65,90,80,80,90,80,100,90,100
44,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,80,80,65,85,65,70,80,80,90,80,100,90,100
45,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,80,100,65,65,85,90,80,80,90,80,100,90,100
46,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,80,80,85,65,85,70,80,80,90,80,100,90,100
47,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,100,100,80,85,85,65,90,80,80,90,80,100,90,100
48,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,100,85,85,85,90,80,80,90,80,100,90,100
49,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,80,80,65,65,65,70,80,80,90,80,100,90,100
50,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,80,100,65,85,85,90,80,80,90,80,100,90,100
51,80,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,100,80,100,65,85,65,90,80,80,90,80,100,90,100
52,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,100,100,85,85,65,90,80,80,90,80,100,90,100
53,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,80,100,65,65,85,90,80,80,90,80,100,90,100
54,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,100,65,65,65,70,80,80,90,80,100,90,100
55,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,80,100,85,85,85,70,80,80,90,80,100,90,100
56,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,80,65,65,85,70,80,80,90,80,100,90,100
57,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,80,80,65,65,85,70,80,80,90,80,100,90,100
58,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,80,100,65,85,85,70,80,80,90,80,100,90,100
59,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,80,100,85,85,65,70,80,80,90,80,100,90,100
60,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,80,100,85,65,65,70,80,80,90,80,100,90,100
61,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,100,80,65,85,65,70,80,80,90,80,100,90,100
62,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,100,80,85,85,65,70,80,80,90,80,100,90,100
63,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,100,80,80,65,65,65,70,80,80,90,80,100,90,100
64,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,80,85,85,65,70,80,80,90,80,100,90,100
65,80,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,100,80,80,85,85,65,90,80,80,90,80,100,90,100
66,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,80,65,65,85,90,80,80,90,80,100,90,100
67,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,100,85,65,65,70,80,80,90,80,100,90,100
68,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,80,80,65,85,85,70,80,80,90,80,100,90,100
69,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,100,100,85,65,65,70,80,80,90,80,100,90,100
70,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,100,100,85,65,85,90,80,80,90,80,100,90,100
71,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,100,100,65,65,85,70,80,80,90,80,100,90,100
72,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,100,80,85,65,65,70,80,80,90,80,100,90,100
73,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,80,80,85,85,85,90,80,80,90,80,100,90,100
74,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,80,80,85,85,85,90,80,80,90,80,100,90,100
75,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,100,80,65,65,65,70,80,80,90,80,100,90,100
76,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,80,85,85,65,90,80,80,90,80,100,90,100
77,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,100,85,85,65,70,80,80,90,80,100,90,100
78,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,80,85,65,85,70,80,80,90,80,100,90,100
79,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,100,80,65,85,85,90,80,80,90,80,100,90,100
80,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,80,85,85,65,70,80,80,90,80,100,90,100
81,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,80,65,85,65,90,80,80,90,80,100,90,100
82,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,100,65,85,85,90,80,80,90,80,100,90,100
83,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,100,85,65,85,70,80,80,90,80,100,90,100
84,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,80,80,85,65,65,90,80,80,90,80,100,90,100
85,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,100,80,85,85,65,90,80,80,90,80,100,90,100
86,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,100,65,65,85,90,80,80,90,80,100,90,100
87,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,100,65,65,65,70,80,80,90,80,100,90,100
88,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,80,65,65,85,90,80,80,90,80,100,90,100
89,80,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,75,100,80,85,65,65,70,80,80,90,80,100,90,100
90,80,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,75,80,80,65,65,65,90,80,80,90,80,100,90,100
91,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,80,100,65,65,65,90,80,80,90,80,100,90,100
92,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,100,100,65,65,65,90,80,80,90,80,100,90,100
93,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,100,65,65,85,70,80,80,90,80,100,90,100
94,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,80,100,85,85,85,70,80,80,90,80,100,90,100
95,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,100,100,65,85,85,70,80,80,90,80,100,90,100
96,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,100,100,65,85,65,70,80,80,90,80,100,90,100
97,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,80,85,65,65,70,80,80,90,80,100,90,100
98,80,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,100,80,80,85,65,85,70,80,80,90,80,100,90,100
99,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,80,85,85,65,70,80,80,90,80,100,90,100
100,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,100,100,65,85,85,70,80,80,90,80,100,90,100
101,100,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,75,80,80,65,65,65,90,80,80,90,80,100,90,100
102,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,100,100,65,65,85,70,80,80,90,80,100,90,100
103,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,80,80,85,65,85,70,80,80,90,80,100,90,100
104,80,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,75,80,100,85,65,85,70,80,80,90,80,100,90,100
105,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,80,85,65,65,90,80,80,90,80,100,90,100
106,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,80,100,85,85,85,90,80,80,90,80,100,90,100
107,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,80,85,65,85,70,80,80,90,80,100,90,100
108,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,80,80,85,85,85,70,80,80,90,80,100,90,100
109,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,80,85,85,85,70,80,80,90,80,100,90,100
110,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,100,80,85,85,85,70,80,80,90,80,100,90,100
111,100,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,75,100,100,85,85,85,70,80,80,90,80,100,90,100
112,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,80,100,65,65,65,70,80,80,90,80,100,90,100
113,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,100,80,85,85,85,70,80,80,90,80,100,90,100
114,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,100,65,85,85,70,80,80,90,80,100,90,100
115,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,80,100,65,85,85,90,80,80,90,80,100,90,100
116,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,80,100,85,65,85,90,80,80,90,80,100,90,100
117,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,100,85,65,85,90,80,80,90,80,100,90,100
118,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,80,65,85,85,70,80,80,90,80,100,90,100
119,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,100,65,85,65,70,80,80,90,80,100,90,100
120,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,80,65,65,65,70,80,80,90,80,100,90,100
121,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,80,100,85,85,85,70,80,80,90,80,100,90,100
122,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,100,100,85,65,65,70,80,80,90,80,100,90,100
123,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,100,100,85,85,85,90,80,80,90,80,100,90,100
124,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,100,85,65,85,90,80,80,90,80,100,90,100
125,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,80,65,85,65,90,80,80,90,80,100,90,100
126,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,80,100,65,85,85,70,80,80,90,80,100,90,100
127,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,100,100,65,85,65,90,80,80,90,80,100,90,100
128,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,100,65,85,65,90,80,80,90,80,100,90,100
129,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,100,100,65,85,85,90,80,80,90,80,100,90,100
130,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,80,80,85,65,85,90,80,80,90,80,100,90,100
131,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,80,80,65,85,85,70,80,80,90,80,100,90,100
132,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,100,80,65,85,65,70,80,80,90,80,100,90,100
133,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,100,100,65,65,65,70,80,80,90,80,100,90,100
134,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,80,65,65,65,90,80,80,90,80,100,90,100
135,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,80,80,65,65,65,90,80,80,90,80,100,90,100
136,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,100,65,65,65,90,80,80,90,80,100,90,100
137,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,100,85,65,65,90,80,80,90,80,100,90,100
138,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,100,65,85,85,70,80,80,90,80,100,90,100
139,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,100,85,65,85,90,80,80,90,80,100,90,100
140,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,80,100,85,85,85,90,80,80,90,80,100,90,100
141,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,100,100,85,65,85,90,80,80,90,80,100,90,100
142,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,80,85,65,65,90,80,80,90,80,100,90,100
143,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,100,65,65,85,90,80,80,90,80,100,90,100
144,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,100,85,65,85,70,80,80,90,80,100,90,100
145,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,100,100,65,85,85,70,80,80,90,80,100,90,100
146,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,100,85,85,65,70,80,80,90,80,100,90,100
147,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,100,65,65,65,90,80,80,90,80,100,90,100
148,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,100,85,65,85,70,80,80,90,80,100,90,100
149,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,80,65,65,85,70,80,80,90,80,100,90,100
150,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,100,65,65,65,90,80,80,90,80,100,90,100
151,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,80,65,65,65,90,80,80,90,80,100,90,100
152,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,80,100,85,85,85,70,80,80,90,80,100,90,100
153,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,80,80,65,65,65,90,80,80,90,80,100,90,100
154,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,100,80,85,85,85,70,80,80,90,80,100,90,100
155,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,80,85,65,65,90,80,80,90,80,100,90,100
156,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,100,80,65,85,85,90,80,80,90,80,100,90,100
157,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,100,80,100,85,85,85,70,80,80,90,80,100,90,100
158,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,100,80,85,85,85,90,80,80,90,80,100,90,100
159,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,100,100,65,85,85,90,80,80,90,80,100,90,100
160,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,80,80,65,65,65,90,80,80,90,80,100,90,100
161,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,100,100,85,65,65,70,80,80,90,80,100,90,100
162,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,100,85,65,85,70,80,80,90,80,100,90,100
163,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,100,100,65,85,85,70,80,80,90,80,100,90,100
164,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,80,100,85,85,85,70,80,80,90,80,100,90,100
165,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,80,80,85,65,65,90,80,80,90,80,100,90,100
166,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,100,80,85,85,65,90,80,80,90,80,100,90,100
167,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,100,65,65,85,70,80,80,90,80,100,90,100
168,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,80,80,65,85,85,70,80,80,90,80,100,90,100
169,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,80,65,65,65,90,80,80,90,80,100,90,100
170,100,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,100,80,80,65,85,85,70,80,80,90,80,100,90,100
171,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,80,100,65,65,65,90,80,80,90,80,100,90,100
172,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,100,100,100,85,65,65,90,80,80,90,80,100,90,100
173,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,100,85,85,85,70,80,80,90,80,100,90,100
174,100,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,100,100,100,85,65,85,90,80,80,90,80,100,90,100
175,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,100,65,65,65,90,80,80,90,80,100,90,100
176,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,80,80,85,85,65,70,80,80,90,80,100,90,100
177,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,100,65,65,65,70,80,80,90,80,100,90,100
178,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,100,65,85,65,90,80,80,90,80,100,90,100
179,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,100,100,65,65,85,90,80,80,90,80,100,90,100
180,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,80,85,65,65,90,80,80,90,80,100,90,100
181,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,80,80,65,85,85,90,80,80,90,80,100,90,100
182,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,100,100,100,85,65,85,70,80,80,90,80,100,90,100
183,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,80,85,85,65,70,80,80,90,80,100,90,100
184,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,80,100,65,85,65,70,80,80,90,80,100,90,100
185,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,100,80,65,85,85,70,80,80,90,80,100,90,100
186,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,100,65,65,85,90,80,80,90,80,100,90,100
187,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,100,80,100,65,85,65,90,80,80,90,80,100,90,100
188,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,100,80,65,65,65,90,80,80,90,80,100,90,100
189,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,80,80,85,65,65,70,80,80,90,80,100,90,100
190,80,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,75,100,80,85,65,85,90,80,80,90,80,100,90,100
191,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,80,85,85,85,90,80,80,90,80,100,90,100
192,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,100,80,85,85,65,70,80,80,90,80,100,90,100
193,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,100,80,65,65,65,70,80,80,90,80,100,90,100
194,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,80,80,85,65,85,90,80,80,90,80,100,90,100
195,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,100,100,100,85,85,65,90,80,80,90,80,100,90,100
196,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,100,65,85,65,90,80,80,90,80,100,90,100
197,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,80,65,65,85,70,80,80,90,80,100,90,100
198,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,100,80,85,85,85,70,80,80,90,80,100,90,100
199,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,80,100,65,85,85,90,80,80,90,80,100,90,100
200,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,80,100,85,85,85,70,80,80,90,80,100,90,100
201,100,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,75,100,80,65,85,85,90,80,80,90,80,100,90,100
202,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,100,65,85,65,90,80,80,90,80,100,90,100
203,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,100,80,80,65,65,85,90,80,80,90,80,100,90,100
204,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,80,80,65,65,65,70,80,80,90,80,100,90,100
205,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,100,80,65,85,85,90,80,80,90,80,100,90,100
206,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,80,65,65,65,90,80,80,90,80,100,90,100
207,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,80,80,65,65,65,90,80,80,90,80,100,90,100
208,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,100,85,65,85,70,80,80,90,80,100,90,100
209,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,80,100,85,85,65,70,80,80,90,80,100,90,100
210,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,80,100,65,65,85,70,80,80,90,80,100,90,100
211,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,80,80,85,65,85,70,80,80,90,80,100,90,100
212,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,80,80,65,85,65,90,80,80,90,80,100,90,100
213,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,80,85,65,65,90,80,80,90,80,100,90,100
214,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,100,80,85,65,85,90,80,80,90,80,100,90,100
215,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,100,80,85,85,65,70,80,80,90,80,100,90,100
216,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,100,85,85,65,70,80,80,90,80,100,90,100
217,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,100,100,85,65,85,70,80,80,90,80,100,90,100
218,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,80,80,85,85,65,90,80,80,90,80,100,90,100
